Executable,DllName
net.exe,netutils.dll
net.exe,samcli.dll
net.exe,srvcli.dll
net.exe,IPHLPAPI.DLL
net1.exe,samcli.dll
net1.exe,netutils.dll
net1.exe,DSROLE.dll
net1.exe,srvcli.dll
net1.exe,wkscli.dll
net1.exe,logoncli.dll
net1.exe,CRYPTBASE.dll
netbtugc.exe,IPHLPAPI.DLL
netdom.exe,netutils.dll
netdom.exe,logoncli.dll
netdom.exe,wkscli.dll
netdom.exe,DNSAPI.dll
netdom.exe,samcli.dll
netdom.exe,DSPARSE.dll
netdom.exe,srvcli.dll
netdom.exe,DSROLE.dll
netdom.exe,SspiCli.dll
netdom.exe,netjoin.dll
netdom.exe,credui.dll
netdom.exe,cryptdll.dll
netdom.exe,NTDSAPI.dll
NetEvtFwdr.exe,UMPDC.dll
netiougc.exe,IPHLPAPI.DLL
netiougc.exe,dhcpcsvc.DLL
Netplwiz.exe,NETPLWIZ.dll
NgcIso.exe,IumSdk.dll
nlb.exe,wevtapi.dll
nlbmgr.exe,MFC42u.dll
nlbmgr.exe,credui.dll
nlbmgr.exe,icmp.dll
nltest.exe,NTDSAPI.dll
nltest.exe,logoncli.dll
nltest.exe,netutils.dll
nslookup.exe,DNSAPI.dll
nslookup.exe,MSWSOCK.dll
ntdsutil.exe,NTDSAPI.dll
ntdsutil.exe,logoncli.dll
ntdsutil.exe,netutils.dll
ntdsutil.exe,DSROLE.dll
ntdsutil.exe,srvcli.dll
ntdsutil.exe,MPR.dll
ntdsutil.exe,ESENT.dll
ntdsutil.exe,SAMLIB.dll
ntdsutil.exe,VSSAPI.DLL
omadmclient.exe,XmlLite.dll
omadmclient.exe,coredpus.dll
omadmclient.exe,CRYPTSP.dll
omadmclient.exe,omadmapi.dll
omadmclient.exe,dmiso8601utils.dll
omadmclient.exe,profapi.dll
omadmclient.exe,UMPDC.dll
omadmclient.exe,dmEnrollEngine.DLL
omadmclient.exe,dmenterprisediagnostics.dll
omadmclient.exe,IPHLPAPI.DLL
omadmclient.exe,msvcp110_win.dll
omadmprc.exe,DMPushProxy.dll
omadmprc.exe,omadmapi.dll
openfiles.exe,MPR.dll
openfiles.exe,framedynos.dll
openfiles.exe,VERSION.dll
openfiles.exe,srvcli.dll
openfiles.exe,netutils.dll
openfiles.exe,SspiCli.dll
OptionalFeatures.exe,appwiz.cpl
osk.exe,OskSupport.dll
osk.exe,dwmapi.dll
osk.exe,OLEACC.dll
osk.exe,WINMM.dll
osk.exe,WMsgAPI.dll
osk.exe,DUser.dll
osk.exe,DUI70.dll
pacjsworker.exe,WINHTTP.dll
PackageInspector.exe,wevtapi.dll
PackageInspector.exe,msi.dll
PasswordOnWakeSettingFlyout.exe,UxTheme.dll
PasswordOnWakeSettingFlyout.exe,DUI70.dll
pcalua.exe,pcaui.dll
pcaui.exe,pcaui.dll
